SEQ_ID	Root	Kingdom	Phylum	Class	Order	Family	Genus
ASV1735	Root	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	unclassified_Lachnospiraceae
ASV1736	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
ASV1737	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	unclassified_Bacteroidales	NA
ASV1738	Root	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
ASV1739	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV1740	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	unclassified_Neisseriaceae
ASV1741	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV1742	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	alphaI cluster
ASV1743	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV1744	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
ASV1745	Root	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella
ASV1746	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified_Prevotellaceae
ASV1747	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
ASV1748	Root	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
ASV1749	Root	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella
ASV1750	Root	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Selenomonas
ASV1751	Root	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV1752	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified_Caulobacteraceae
ASV1753	Root	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
ASV1754	Root	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Flexilinea
